ID:新冠肺炎|我采访了刚到中国支援的德国顶尖病毒研究家
{'danmu_send_time': '2021-01-14 21:14:21', 'text': '新年快乐虽然是不完美的一年'}
{'reply_time': '2020-01-25 23:51:57', 'reply_like': 5, 'reply_content': '这件事必须立法 而且要提高意识 野生动物和普通的肉营养价值没有差别 别为了炫富炫地位就吃野生动物'}
{'reply_time': '2020-01-26 00:04:04', 'reply_like': 5, 'reply_content': '网上传的国人吃蝙蝠其实大多都是谣言，真实情况是有国人去外国旅游时，吃当地的特色菜，这个菜用的蝙蝠是人工饲养的，用水果喂养长大的。NGA有老哥查完发帖辟谣了，并不是武汉人直接抓野生蝙蝠来吃，也不要再一直拿这个吃蝙蝠来说事了，更应该注意的是吃野味的，蝙蝠其实国内本就没怎么有人会拿来吃。[无语]'}
{'reply_time': '2020-01-26 00:04:06', 'reply_like': 0, 'reply_content': '回复 @Tetsuki哲木 :没有什么敏感问题，说白了就是生产力的问题，物力财力人力极其有限，贩卖的还能查，还有突发奇想自己打着吃的，怎么查？这个就像消灭老鼠一样不切实际，当年全国动员灭四害，照样春风吹又生。所以(*￣m￣)，说说你的敏感问题在哪里？？？'}
{'reply_time': '2020-01-26 00:05:55', 'reply_like': 2, 'reply_content': '回复 @射手的放纵 :捕捉贩卖野味和吃野味的都入刑！就不信弄不了这群狗东西！'}
{'reply_time': '2020-01-26 00:11:58', 'reply_like': 0, 'reply_content': '我也是才知道，我爸上星期跑市场买了只果子狸请他的狐朋狗友吃饭[无语]'}
{'reply_time': '2020-01-26 00:16:58', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :不仅吃蝙蝠，还是生吃'}
{'reply_time': '2020-01-26 00:32:47', 'reply_like': 4, 'reply_content': '人类有一个巨大的优势，那就是可以总结上次错误的原因。\n但是人类又有一个巨大的劣势，就是总在重复相同的错误。'}
{'reply_time': '2020-01-26 00:38:01', 'reply_like': 1, 'reply_content': '因为中国一直只是说打击，但是从来都没有宣传是为了防止病毒的传播'}
{'reply_time': '2020-01-26 00:38:17', 'reply_like': 4, 'reply_content': '搞不懂了蝙蝠又没肉又没营养吃它干嘛，当年搞个非典出来还嫌事不够大吗？因为自己那些奇怪甚至恶心的癖好影响全中国，良心不会疼吗害死了那么多无辜的人晚上不会做噩梦吗！？'}
{'reply_time': '2020-01-26 00:39:44', 'reply_like': 4, 'reply_content': '回复 @咲太_八幡 :蝙蝠是吃害虫的[吃瓜]上过高中生物课的都不会说要灭绝生态链中的任何一个，这会导致系统崩溃的[吃瓜]\n打个比方来说，有个人想偷吃别人的蛋糕，结果那个蛋糕是有毒他偷吃完进医院了，你觉得罪魁祸首是谁？[吃瓜]'}
{'reply_time': '2020-01-26 01:05:46', 'reply_like': 3, 'reply_content': '回复 @射手的放纵 :那不一定 现在是信息化社会 非典绝大多数人 不了解为什么引起 尤其是年轻人 不了解 现在必须引导 吃野味会引起严重令人死亡传染病的社会风气 打击这种电视节目与主播 从小教育国民 真正做到人人喊打 情况会好很多'}
{'reply_time': '2020-01-26 01:06:40', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :就应该重刑。提高吃这个的成本。抓到就关3年以上这卖的怕不是也要想想'}
{'reply_time': '2020-01-26 01:07:33', 'reply_like': 2, 'reply_content': '回复 @渴望拥抱的吴京桑 :我觉得你也应该灭绝'}
{'reply_time': '2020-01-26 01:08:42', 'reply_like': 5, 'reply_content': '回复 @渴望拥抱的吴京桑 :动不动灭绝这灭绝那 以前在牛身上找到了抗体 那以后需要这些东西身上的DNA的时候去哪找?'}
{'reply_time': '2020-01-26 01:17:40', 'reply_like': 6, 'reply_content': '回复 @国民初恋七曜 :我记得之前看的是蝙蝠常年体温特别高，就像人类发烧一样，可以激活它身上各个系统来压制病毒……不过野生动物嘛，总有它们自己的那一套共生法则[无语][无语]咱人类硬往上贴…真就作死啊。有一说一，这两天看的蝙蝠视频和图片……真的好可爱啊OJZ说像老鼠没萌点的，想想仓鼠为什么有那么多人养就明白了吧😂😂'}
{'reply_time': '2020-01-26 01:36:19', 'reply_like': 0, 'reply_content': '回复 @国民初恋七曜 :应该是因为自身有免疫系统。而且蝙蝠一个族群。有些病死的蝙蝠可能会被我们忽略。就是所谓的幸存者偏差。 病死的蝙蝠我们根本看不到。可能就觉得，蝙蝠这个族群完全没事。'}
{'reply_time': '2020-01-26 01:37:24', 'reply_like': 0, 'reply_content': '回复 @双马尾和绝对领域 :哈哈，真相了。兄弟'}
{'reply_time': '2020-01-26 01:39:02', 'reply_like': 3, 'reply_content': '回复 @爱吃汉堡包的天残 :什么也不去……在广州见过，还有福寿禄这个菜，当时借机打电话就跑了，把我吓跑了……后来去按摩都没敢去了[大哭]'}
{'reply_time': '2020-01-26 01:41:06', 'reply_like': 2, 'reply_content': '？谁说是直接吃蝙蝠的？这层楼的人能不能不知道实情就瞎传播？蝙蝠只是病毒的源体，没说就是直接吃的蝙蝠啊！'}
{'reply_time': '2020-01-26 01:41:57', 'reply_like': 2, 'reply_content': '回复 @海茵茨_威廉_古德里安 :广义上说，所有野生的动物都算。即使是被人类驯化的猪，羊等等。野生的猪和养的猪说是有区别的。\n养殖的猪，羊等等。从出生到屠宰都有消毒检验记录可以查。甚至是饲料都能查出来。\n至于野生的猪，羊。不知根知底，谁知道他们吃过什么稀奇古怪的玩意儿？'}
{'reply_time': '2020-01-26 01:43:41', 'reply_like': 0, 'reply_content': '回复 @山下的野狗 :很正常。建国以前医疗水平不发达。许多人身上都有寄生虫。更何况是野生的动物。'}
{'reply_time': '2020-01-26 01:43:52', 'reply_like': 4, 'reply_content': '回复 @渴望拥抱的吴京桑 :我觉得就算是老鼠蝙蝠蟑螂这些带致病菌的生物都有其必要性存在，少了其中任何一个都会对生态平衡造成重大影响，倒是你这种种族歧视者可以灭绝，也不影响生态[画风突变]'}
{'reply_time': '2020-01-26 01:46:28', 'reply_like': 0, 'reply_content': '回复 @梦星槢 :有些人吃的就是身份和地位。吃的东西可能并不好吃。'}
{'reply_time': '2020-01-26 01:47:35', 'reply_like': 2, 'reply_content': '回复 @Aizerase :广义上说，所有野生的动物都算。即使是被人类驯化的猪，羊等等。野生的猪和养的猪说是有区别的。\n养殖的猪，羊等等。从出生到屠宰都有消毒检验记录可以查。甚至是饲料都能查出来。\n至于野生的猪，羊。不知根知底，谁知道他们吃过什么稀奇古怪的玩意儿？'}
{'reply_time': '2020-01-26 01:49:08', 'reply_like': 0, 'reply_content': '回复 @Aizerase :个人建议不要吃。非要吃可以拿去到卫生检验检疫部门。经检验检疫合格。消毒手续完成。\n之后，就可以吃了'}
{'reply_time': '2020-01-26 01:49:23', 'reply_like': 2, 'reply_content': '回复 @印度人民的好朋友 :我也觉得蝙蝠很可爱。。。但细菌病毒真的多。。。只能远观了'}
{'reply_time': '2020-01-26 01:55:02', 'reply_like': 0, 'reply_content': '回复 @花间一壶酒zj :我们这叫岩老鼠'}
{'reply_time': '2020-01-26 01:55:48', 'reply_like': 0, 'reply_content': '回复 @懒扮风流 :可以去美食区看看，很多人还在以在中国什么都能吃为荣呢，想叫他们放弃？他们只有死了才会停止'}
{'reply_time': '2020-01-26 01:57:07', 'reply_like': 3, 'reply_content': '贝爷烤蝙蝠烤了四个多小时就怕不熟，我们这蝙蝠汤还是啥的，怕不是一小时出锅[无语]'}
{'reply_time': '2020-01-26 02:04:51', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :这样的人我们相信一定会绝的[响指]。'}
{'reply_time': '2020-01-26 02:06:04', 'reply_like': 0, 'reply_content': '回复 @1点41421点点点 :那个……蝙蝠侠……不是野味[尴尬]'}
{'reply_time': '2020-01-26 02:08:30', 'reply_like': 0, 'reply_content': '回复 @逍遥游JG :加多10岁怎么样？[画风突变]'}
{'reply_time': '2020-01-26 02:14:40', 'reply_like': 0, 'reply_content': '我恨死吃野味和卖野味的那些家伙了！'}
{'reply_time': '2020-01-26 02:27:05', 'reply_like': 0, 'reply_content': 'http://tv.cctv.com/v/v1/VIDEqHGaS6gzKEdORECZ5AVy180406.html看看这个20分钟开始看！这个病毒就是🦇带的'}
{'reply_time': '2020-01-26 02:29:01', 'reply_like': 2, 'reply_content': '回复 @胧骑士 :人家是要在大自然抵御一切的物种，而我们人类不一样，他们没有高体抗力在野外怎么活。'}
{'reply_time': '2020-01-26 02:31:18', 'reply_like': 2, 'reply_content': '回复 @国民初恋七曜 :人家是抵抗力好，没办法，在这种环境下抵抗力不好，蝙蝠这个总群还能活下去吗？'}
{'reply_time': '2020-01-26 03:32:07', 'reply_like': 1, 'reply_content': '回复 @渴望拥抱的吴京桑 :偏激了，蝙蝠是吃害虫的。生物能活到现在都有道理，能管住的只有人类自己'}
{'reply_time': '2020-01-26 04:07:27', 'reply_like': 1, 'reply_content': '回复 @爱吃汉堡包的天残 :应该吃的果蝠比较大'}
{'reply_time': '2020-01-26 04:37:14', 'reply_like': 0, 'reply_content': '摆拍视频，你信了？'}
{'reply_time': '2020-01-26 04:45:41', 'reply_like': 1, 'reply_content': '回复 @ssSssAio :根本就不是吃出来的，你带啥节奏？'}
{'reply_time': '2020-01-26 04:46:28', 'reply_like': 0, 'reply_content': '回复 @34032337993_bili :明显摆拍'}
{'reply_time': '2020-01-26 04:58:53', 'reply_like': 1, 'reply_content': '回复 @爱吃汉堡包的天残 :蝙蝠的粪便污染了其他的食用动物也有可能，不一定时直接吃蝙蝠了。'}
{'reply_time': '2020-01-26 06:06:49', 'reply_like': 0, 'reply_content': '回复 @Aizerase :吃河鲜会让你身体里长各种寄生虫，但不会害到别人。'}
{'reply_time': '2020-01-26 06:19:28', 'reply_like': 0, 'reply_content': '蝙蝠体内的病毒很多的！但是蝙蝠的抗体人是没有的！蝙蝠那么黑我感觉恶心！而且那个蝙蝠头真的恐怖'}
{'reply_time': '2020-01-26 06:27:18', 'reply_like': 0, 'reply_content': '钱多了让他们吃球吧'}
{'reply_time': '2020-01-26 06:29:36', 'reply_like': 0, 'reply_content': '回复 @毅熠郝皓 :这是一种病态，这样发展下去哪天你有可能被同类吃掉'}
{'reply_time': '2020-01-26 06:31:54', 'reply_like': 2, 'reply_content': '李兰娟教授说是蝙蝠传染给哺乳动物，人吃了被感染的哺乳动物，自己作为哺乳动物也会被感染，因此所有野味都不能吃[热词系列_锤]'}
{'reply_time': '2020-01-26 06:32:15', 'reply_like': 3, 'reply_content': '回复 @丨雪o寒o杉丨 :李兰娟教授说是蝙蝠传染给哺乳动物，人吃了被感染的哺乳动物，自己作为哺乳动物也会被感染，因此所有野味都不能吃[热词系列_锤]'}
{'reply_time': '2020-01-26 07:01:41', 'reply_like': 0, 'reply_content': '稀奇古怪的东西从来不吃，连动物内脏都不吃，感觉太脏了'}
{'reply_time': '2020-01-26 07:05:49', 'reply_like': 7, 'reply_content': '回复 @国民初恋七曜 :蝙蝠已经在地球上存在了8800万年了，不知道已经进化了多少轮。人类进化至此才几万年，我们以为我们凌驾于自然，但其实人类在哺乳动物里就是个弟弟。'}
{'reply_time': '2020-01-26 08:06:04', 'reply_like': 0, 'reply_content': '回复 @杨嘉绮呀 :这次多半是生吃，因为病毒五十六度就失活。。我真是b[妙啊]了'}
{'reply_time': '2020-01-26 08:28:28', 'reply_like': 1, 'reply_content': '就是，搞不懂啊，农家散养的各种家禽家畜明明很好吃很多都还没见过，偏偏要偷偷摸摸吃那些病菌满满的野生的，有些还是国家保护动物，真的是不作死就不会死'}
{'reply_time': '2020-01-26 08:36:12', 'reply_like': 0, 'reply_content': '说举报，可是去哪儿举报啊？'}
{'reply_time': '2020-01-26 08:44:21', 'reply_like': 0, 'reply_content': '回复 @爱吃汉堡包的天残 :其实还是一种虚荣心还有新鲜感作祟，别人没吃过或者据说很补这样子，很大一部分原因还是宣传野味不能吃的力度不够大，因为老一辈人不知道的，然后出去旅游或者被人怂恿几句就会相信然后吃了'}
{'reply_time': '2020-01-26 08:45:35', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :好办，吃的人全部判刑不怕打不掉'}
{'reply_time': '2020-01-26 08:46:16', 'reply_like': 0, 'reply_content': '回复 @Q_Young :人，要灭绝人泪'}
{'reply_time': '2020-01-26 09:01:04', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :如果把吃野味判的和吸毒一样，我就不信打不掉'}
{'reply_time': '2020-01-26 09:15:51', 'reply_like': 0, 'reply_content': '疯求了哇'}
{'reply_time': '2020-01-26 09:16:48', 'reply_like': 0, 'reply_content': '回复 @山下的野狗 :我们这有人吃天鹅，国家保护动物[无语]'}
{'reply_time': '2020-01-26 09:17:00', 'reply_like': 0, 'reply_content': '回复 @JK随缘逐流 :应该按有灭绝人类企图和清楚人类计划来审判[阴险]'}
{'reply_time': '2020-01-26 09:51:40', 'reply_like': 2, 'reply_content': '回复 @杨嘉绮呀 :主要不是蝙蝠，人类接触的大多数是中间宿主'}
{'reply_time': '2020-01-26 09:54:36', 'reply_like': 1, 'reply_content': '回复 @丶情书再不朽 :是的，生态圈循环，就算不吃野味，只要这种病毒存在早晚都会通过生态食物链接触到人类。'}
{'reply_time': '2020-01-26 09:57:09', 'reply_like': 0, 'reply_content': '只要有人吃就会有人捕'}
{'reply_time': '2020-01-26 10:06:04', 'reply_like': 0, 'reply_content': '像禁毒一样禁野味！！！！重罚重判，让不吃野味像不吸毒一样深入人心！！！'}
{'reply_time': '2020-01-26 10:28:31', 'reply_like': 1, 'reply_content': '回复 @射手的放纵 :打不掉也要打，人人举报，天天举报，就算他换地方还有成本吧，等到不赚钱了看谁还做[傲娇]'}
{'reply_time': '2020-01-26 10:51:39', 'reply_like': 0, 'reply_content': '回复 @喜加一喜加一 :你生吃蝙蝠？还是人嘛'}
{'reply_time': '2020-01-26 10:58:39', 'reply_like': 0, 'reply_content': '回复 @Baltan-seijin :那都是2016年的事了，别逗'}
{'reply_time': '2020-01-26 11:47:32', 'reply_like': 0, 'reply_content': '疯球了吗[喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣]'}
{'reply_time': '2020-01-26 11:57:53', 'reply_like': 5, 'reply_content': '蝙蝠它们做错了什么，它们都躲了那么远了，它们住在深山老林里，长的那么有求生欲了，还被抓去吃，有的人还说把这个物种灭了吧？？它们做错了什么啊？是那些吃蝙蝠的人错了啊'}
{'reply_time': '2020-01-26 11:58:31', 'reply_like': 0, 'reply_content': '回复 @小和的汉堡肉 :早上看个美食视频没气死我，人家说了养殖的野味就代表没毒，你们不吃牛羊肉吗有本事你一辈子就别吃肉，在他们眼里你吃牛羊肉跟他们一样，而且人家还有继续吃，这种买卖野生动物的人就应该判刑要不以后继续吃，还会有其他瘟疫'}
{'reply_time': '2020-01-26 12:00:23', 'reply_like': 0, 'reply_content': '回复 @小柴胡2009 :因为养殖的是合法的，野生动物真是倒霉了它们招谁惹谁了连刺猬猫头鹰都不放过，这些败类除了屎什么都吃。'}
{'reply_time': '2020-01-26 12:05:19', 'reply_like': 2, 'reply_content': '@月漪烟 吃野味的人说了人家非洲人吃蝙蝠就没事，怀疑病毒是他国特工投放的，我都无语了。为什么要灭绝野生动物，该死是这些嘴馋的人渣，因为他们的一己私欲害了全国的人，大批量屠杀野生动物养殖野生动物为了满足他们那张破嘴。'}
{'reply_time': '2020-01-26 12:07:54', 'reply_like': 0, 'reply_content': '回复 @兔兔辣么可爱为什要吃兔兔 :说把蝙蝠熬汤喝可以壮阳，拔了皮吃。'}
{'reply_time': '2020-01-26 12:16:20', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :都说广东人啥都吃[捂脸]我看这次还有说广东的没'}
{'reply_time': '2020-01-26 12:28:17', 'reply_like': 0, 'reply_content': '回复 @要元气满满吖 :祝福武汉，和那些连夜逃离武汉成为鲜明对比'}
{'reply_time': '2020-01-26 12:39:28', 'reply_like': 0, 'reply_content': '河南老乡吧'}
{'reply_time': '2020-01-26 12:42:45', 'reply_like': 0, 'reply_content': '吃野味很正常啊，我们这吃几十年了，但是你得煮熟，熟的啥事都没有'}
{'reply_time': '2020-01-26 12:55:02', 'reply_like': 0, 'reply_content': '回复 @爱吃汉堡包的天残 :我记得贝爷生吃那么多东西 吃蝙蝠却要烤还担心烤不熟 足以看出这东西有多脏'}
{'reply_time': '2020-01-26 13:15:32', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :所以当年2003 sars病毒的易感染人群年龄是20~37，现在2020易感染人群是37以上，受苦的这还是同一拨人。。。。。'}
{'reply_time': '2020-01-26 13:18:00', 'reply_like': 1, 'reply_content': '回复 @淡漠的鱼 :鸡吃了那么多年不还禽流感了，不过不用跟智障辩论，他会尝试把你拖到同一个level显得自己很厉害'}
{'reply_time': '2020-01-26 13:31:51', 'reply_like': 0, 'reply_content': '回复 @武汉之子 :蝙蝠和老鼠一样恶心[灵魂出窍][灵魂出窍]'}
{'reply_time': '2020-01-26 13:34:31', 'reply_like': 0, 'reply_content': '堪比黄赌毒[囧]'}
{'reply_time': '2020-01-26 13:40:46', 'reply_like': 1, 'reply_content': '打不掉也得打，连这点决心都没有，何谈战胜病毒，连自我都战胜不了。'}
{'reply_time': '2020-01-26 13:41:43', 'reply_like': 0, 'reply_content': '回复 @爱吃汉堡包的天残 :买单[生气][生气][doge]'}
{'reply_time': '2020-01-26 13:41:52', 'reply_like': 0, 'reply_content': '回复 @杨嘉绮呀 :去年夏天我们宿舍晚上飞进来一只蝙蝠，真的巨恶心，一直在乱扑腾，最后还是我们宿舍最高的那个兄弟爬到床上拿扫把一下给呼死的，扫出去之后我们屋扫把直接扔了买了个新的，还往屋里喷了消毒水，现在想想真的[无语][无语][无语]'}
{'reply_time': '2020-01-26 14:15:12', 'reply_like': 0, 'reply_content': '我舅去年去帕劳旅游还说果蝠是当地特色菜呢，但是他看着恶心没吃，我寻思毛茸茸那么恶心，谁会吃？没想到真有人吃，真是开了眼界[捂脸]'}
{'reply_time': '2020-01-26 14:26:04', 'reply_like': 3, 'reply_content': '回复 @印度人民的好朋友 :emmmm我也觉得蝙蝠很可爱，但是有的品种确实很难看[笑哭]我只喜欢那些长得可爱的蝙蝠，不过当然不会养，也不敢养，毕竟人类很多的瘟疫都是蝙蝠传染过来的。'}
{'reply_time': '2020-01-26 14:48:09', 'reply_like': 0, 'reply_content': '那你得把贝爷什么的全举报一下[偷笑]'}
{'reply_time': '2020-01-26 15:03:39', 'reply_like': 0, 'reply_content': '我举报没人管'}
{'reply_time': '2020-01-26 15:06:29', 'reply_like': 0, 'reply_content': '在缅甸和云南瑞丽边境地区 某些村民经常会抓野生动物来吃 我学校就有闸种吃野生动物 我举报没人管'}
{'reply_time': '2020-01-26 15:14:31', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :打的掉！非典过后的打击更多是流于表面，看吧这件事之后卖野味的还能不能混的起来'}
{'reply_time': '2020-01-26 15:25:00', 'reply_like': 0, 'reply_content': '回复 @丶情书再不朽 :道理都懂，但是首先蝙蝠确实有人吃，野生动物为什么会大规模出现在城市聚集地？这跟贩卖，捕杀，实用的人脱不了干系，说白了这次还是我们给自己找的麻烦'}
{'reply_time': '2020-01-26 15:42:58', 'reply_like': 0, 'reply_content': '林业局的问题'}
{'reply_time': '2020-01-26 15:47:01', 'reply_like': 1, 'reply_content': '回复 @射手的放纵 :那也要举报！绝不能放过他们！'}
{'reply_time': '2020-01-26 15:50:53', 'reply_like': 0, 'reply_content': '个人认为常吃野味，要么死要面子朋友圈装逼，要么无知封建迷信，呵呵，祝这种人早日**'}
{'reply_time': '2020-01-26 16:40:30', 'reply_like': 0, 'reply_content': '忽然想@     一下德爷'}
{'reply_time': '2020-01-26 16:41:07', 'reply_like': 2, 'reply_content': '蝙蝠这么可爱还帮我们捉蚊子那些人居然连它们也不放过[大哭][大哭][大哭]'}
{'reply_time': '2020-01-26 16:51:31', 'reply_like': 1, 'reply_content': '回复 @国民初恋七曜 :AV1651534，有科普的'}
{'reply_time': '2020-01-26 16:58:42', 'reply_like': 2, 'reply_content': '吃孔雀的都有 我人直接傻了'}
{'reply_time': '2020-01-26 17:00:02', 'reply_like': 0, 'reply_content': '回复 @手势哥 :。。。。 你不知道什么叫做非法买卖吗？检疫局已经严禁，不管什么样的蝙蝠绝对不能进野味。'}
{'reply_time': '2020-01-26 17:11:00', 'reply_like': 1, 'reply_content': '说真的不至于，野味并不都是那些奇奇怪怪的东西，野鸡野鸭野猪鸟啊啥的都是野味'}
{'reply_time': '2020-01-26 17:40:20', 'reply_like': 0, 'reply_content': '回复 @名字戈琳涵 :你自己好好看清楚这个专家说的是非典的例子'}
{'reply_time': '2020-01-26 17:45:17', 'reply_like': 0, 'reply_content': '为了以后不会发生同样的情况我会见一个举报一个，今天你不管明天就等着承担后果吧，吃野味的败类真的该死'}
{'reply_time': '2020-01-26 17:50:34', 'reply_like': 1, 'reply_content': '能端掉一个就端掉一个老巢，总比让它逍遥法外好啊'}
{'reply_time': '2020-01-26 17:57:11', 'reply_like': 0, 'reply_content': '贝爷吃那么多野生动物都没事[疼]'}
{'reply_time': '2020-01-26 17:58:55', 'reply_like': 0, 'reply_content': '小的时候看过一个电视剧，好像是郑则仕和沈殿霞演的，只能记得片段，就是很多人住在类似别墅的地方，他们被蝙蝠咬伤，发病特别吓人，那简直是童年阴影，从小我就特别怕蝙蝠。'}
{'reply_time': '2020-01-26 18:30:59', 'reply_like': 0, 'reply_content': '回复 @武汉之子 :个人审美不同吧'}
{'reply_time': '2020-01-26 18:31:25', 'reply_like': 2, 'reply_content': '蝙蝠真的很委屈了，几万年的进化带着病毒封印在阴暗拥挤的洞穴里，某些人类还去吃它'}
{'reply_time': '2020-01-26 18:56:15', 'reply_like': 3, 'reply_content': '回复 @咲太_八幡 :当然不可以，蝙蝠是生态链中重要的一环，很多动物以蝙蝠为食，一些蝙蝠会吃虫子，会为一些植物传粉，消灭一个物种等于消灭一群物种，即使是蚊子也是很多鸟类，比如燕子的食物，而且吸人血的蚊子只有那一种，其他种的蚊子也会传播花粉，所以从根源上杜绝与危险物种接触的可能性是必要的，比如直接吃，而不是灭绝物种，这好比有问题了要解决问题，而不是解决提出问题的人'}
{'reply_time': '2020-01-26 18:57:51', 'reply_like': 1, 'reply_content': '回复 @我是一个小垃鸡 :果子狸有养殖的，养殖的可以吃，但是野生的不能吃'}
{'reply_time': '2020-01-26 19:03:27', 'reply_like': 0, 'reply_content': '福寿汤你可知道？蝠寿汤！！！'}
{'reply_time': '2020-01-26 19:03:58', 'reply_like': 1, 'reply_content': '回复 @射手的放纵 :我有一个想法，那些吃野味的人大多都是无脑相信吃野味怎样怎样补，我们网友联合起来，也传一个谣：吃野味怎样怎样伤身，这个谣言只要传的广，人人听过，差不多都会信〔因为这个网络社会里，几个人讲实话没人听，众人传谣人人知道〕'}
{'reply_time': '2020-01-26 19:07:21', 'reply_like': 0, 'reply_content': '回复 @1点41421点点点 :又不是吃蝙蝠侠。(°∀°)ﾉ'}
{'reply_time': '2020-01-26 19:14:40', 'reply_like': 0, 'reply_content': '回复 @淡漠的鱼 :大坝蓄水的例子，以前没表现出问题，就一定没问题吗'}
{'reply_time': '2020-01-26 19:19:31', 'reply_like': 0, 'reply_content': '国家已经明令禁止了'}
{'reply_time': '2020-01-26 19:39:56', 'reply_like': 0, 'reply_content': '回复 @爱吃汉堡包的天残 :水貂，獾，刺猬，狐狸，果子狸之类的，都有可能是中间宿主，默默说一句，竹鼠最好也不要碰，医生朋友说竹鼠带很多病菌。总之吃野味都有风险。上海女博士于娟的故事听过没。'}
{'reply_time': '2020-01-26 19:52:20', 'reply_like': 0, 'reply_content': '也没有这么讲，都是个人的事，也举报也太…'}
{'reply_time': '2020-01-26 19:54:20', 'reply_like': 0, 'reply_content': '只是有些人太会瞎吃了，吃之前能不能先了解一下能不能吃呢'}
{'reply_time': '2020-01-26 20:05:35', 'reply_like': 0, 'reply_content': '回复 @风如古城吹 :我也觉得。害 不过现在这样说肯定挨喷'}
{'reply_time': '2020-01-26 20:23:01', 'reply_like': 0, 'reply_content': '只要滋阴壮阳，和大朴这种无知存在，就无法根除吃野味，因为这是根植在一代人的愚昧无知。'}
{'reply_time': '2020-01-26 20:23:49', 'reply_like': 0, 'reply_content': '回复 @爱吃汉堡包的天残 :觉得跟老鼠一样'}
{'reply_time': '2020-01-26 20:47:28', 'reply_like': 0, 'reply_content': '回复 @兰斯洛特1990 :那么野鸡野鸭，野猪，河里的野生鲤鱼鲫鱼，孩子喜欢钓的河里龙虾怎么算？本质上也是野味'}
{'reply_time': '2020-01-26 21:18:48', 'reply_like': 0, 'reply_content': '不是吃蝙蝠，而是蝙蝠感染给了骆驼（中东综合征），或者感染给了其他动物'}
{'reply_time': '2020-01-26 21:24:02', 'reply_like': 0, 'reply_content': '回復 @射手的放纵 :那就重罚。没有人会做风险远大于利益的生意。'}
{'reply_time': '2020-01-26 21:26:07', 'reply_like': 2, 'reply_content': '应该也不会有人吃蝙蝠吧。。。我觉得有可能是其他动物把蝙蝠吃了，然后吃野味的人把那个吃过蝙蝠的动物给吃了，间接传播。个人观点轻喷。'}
{'reply_time': '2020-01-26 21:34:48', 'reply_like': 0, 'reply_content': '立个法才行'}
{'reply_time': '2020-01-26 21:49:51', 'reply_like': 0, 'reply_content': '回复 @华夕月下 :该的是吃野味的人，有很多无辜的人都一起承担了，凭什么我们要帮他们背锅。'}
{'reply_time': '2020-01-26 21:53:39', 'reply_like': 0, 'reply_content': '再一再二不再三 我希望不再有吃野味的人了'}
{'reply_time': '2020-01-26 22:36:28', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :当吃野味成为违法行为'}
{'reply_time': '2020-01-26 22:38:15', 'reply_like': 0, 'reply_content': '回复 @JK随缘逐流 :还是活性毒'}
{'reply_time': '2020-01-26 22:42:18', 'reply_like': 1, 'reply_content': '回复 @Aizerase :这里的野位是指那些奇奇怪怪的野生动物不是指可食用的野生动物或者是那些更容易让人接受的动物比如鸡鸭猪这些'}
{'reply_time': '2020-01-26 23:28:34', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :除非珍灭'}
{'reply_time': '2020-01-26 23:41:18', 'reply_like': 0, 'reply_content': '湖南人表示我们不吃蝙蝠，顶多吃蛇，因为是异蛇之乡[捂脸]'}
{'reply_time': '2020-01-26 23:42:57', 'reply_like': 0, 'reply_content': '回复 @射手的放纵 :只要有人说能滋阴补阳奥力给都会有人吃'}
{'reply_time': '2020-01-27 00:10:32', 'reply_like': 0, 'reply_content': '你才知道是因为你眼界太低，这个世界无限可能，超出个体认知的不代表别人不会做'}
{'reply_time': '2020-01-27 00:18:38', 'reply_like': 0, 'reply_content': '南方吃的蛇，刺猬，竹鼠，孔雀这些东西其实都有专门的饲养繁殖场人工繁殖出来的专门供食用的，吃这种专供食用的是没有什么问题的。但是吧，总有人会追求吃野生的，因为总有人认为野生的比人工繁殖的更健康。。。。'}
{'reply_time': '2020-01-27 00:21:07', 'reply_like': 0, 'reply_content': '回复 @小柴胡2009 :有光明正大的市场是因为有专门的繁殖场人工培育的供食用的这些动物，但是因为有些人追求吃野生的他不吃人工繁育的，所以市场上就会出现野生的，然后野生的和人工养殖的充斥在同一个市场里，最后就连人工养殖的也被掺杂其中的野生的传上病毒。。。。。。'}
{'reply_time': '2020-01-27 00:26:27', 'reply_like': 0, 'reply_content': '回复 @小柴胡2009 :这个市场按照法律规定是让你卖人工养殖的的，但是由于人们追求野生的，最后这个市场就被野生的占据了。比方说蛇，人工养殖的食用肉蛇和野生抓捕的蛇都在一个菜市里面，然后顾客们总会去买那个野生的不去买人工养殖的。现在想治理这个问题不光光是市场监管了，因为人工养殖的和野生的掺杂在一块卖没法分了已经，最重要的就是改变思想，让人不再去追求野生的'}
